"","pathlength","neighbors","clustering","assortativity","exponent","size","network_type"
"path_small"," 3.3742395"," 1.9600000"," 0.0000000","-0.3125999"," 2.7989785","50.0000000","Scalefree"
"path_high"," 4.9870068"," 1.9600000"," 0.0000000","-0.3057365"," 2.7904289","50.0000000","Scalefree"
"ass_small"," 4.0074694"," 1.9600000"," 0.0000000","-0.4832008"," 2.7470481","50.0000000","Scalefree"
"ass_high"," 4.0160707"," 1.9600000"," 0.0000000","-0.1650383"," 2.7529003","50.0000000","Scalefree"
"exp_small"," 4.1012327"," 1.9600000"," 0.0000000","-0.3545311"," 2.5523325","50.0000000","Scalefree"
"exp_high"," 4.0934721"," 1.9600000"," 0.0000000","-0.3459061"," 3.0376001","50.0000000","Scalefree"
"size_small"," 4.4900762"," 1.9600000"," 0.0000000","-0.2974416"," 2.8485486","50.0000000","Scalefree"
"size_high","  4.4996761","  1.9800000","  0.0000000"," -0.2908039","  2.8516065","100.0000000","Scalefree"
"diff_path"," 1.612767347"," 0.000000000"," 0.000000000"," 0.006863389","-0.008549581"," 0.000000000","Scalefree"
"diff_ass","0.008601361","0.000000000","0.000000000","0.318162474","0.005852238","0.000000000","Scalefree"
"diff_exp","-0.007760544"," 0.000000000"," 0.000000000"," 0.008625015"," 0.485267607"," 0.000000000","Scalefree"
"diff_size"," 0.009599904"," 0.020000000"," 0.000000000"," 0.006637718"," 0.003057870","50.000000000","Scalefree"
"path_small_ran"," 4.31422857"," 2.46746667"," 0.02852487","-0.10418424",NA,"50.00000000","Random"
"path_high_ran"," 4.68773605"," 2.46066667"," 0.03678524","-0.10385604",NA,"50.00000000","Random"
"neigh_small"," 1.78552381","11.97893333"," 0.24504170"," 0.01382447",NA,"50.00000000","Random"
"neigh_high"," 1.77719728","12.69280000"," 0.25317578"," 0.02494523",NA,"50.00000000","Random"
"diff_path_ran"," 0.3735074830","-0.0068000000"," 0.0082603704"," 0.0003281995",NA," 0.0000000000","Random"
"diff_neigh","-0.008326531"," 0.713866667"," 0.008134076"," 0.011120758",NA," 0.000000000","Random"
"clus_small","  1.67785235"," 48.00000000","  0.31891983"," -0.01451739",NA,"150.00000000","Small-world"
"clus_high","  1.682844146"," 48.000000000","  0.582691981"," -0.006571642",NA,"150.000000000","Small-world"
"diff_clus","0.004991797","0.000000000","0.263772154","0.007945752",NA,"0.000000000","Small-world"
